;titulo;region;tipo inmueble;proposito;direccion;orientacion;antiguedad;m2 totales;m2_utiles;terraza;m2_terraza;ambientes;habitaciones;banos;estacionamiento;bodega;piso de apartamento;cantidad de pisos edificio;apartamentos por piso;gastos comunes;precio;precio por m2;latitud;longitud;url
0;Edificio Tarapaca- Vista Poniente Piso 15;santiago-metropolitana;departamento;arriendo;Tarapaca 890, Bulnes, Santiago, RM (Metropolitana);Poniente;0;32,78;28,78;Si;4;1;0;1;0;0;15;27;17;0;310000;9456,985967;-33,44689;-70,64812;https://www.portalinmobiliario.com/MLC-1524654026-edificio-tarapaca-vista-poniente-piso-15-_JM#position=1&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
1;Edificio José Miguel Carrera- Vista Oriente Piso 12;santiago-metropolitana;departamento;arriendo;José Miguel Carrera 321, Ejército - Toesca, Santiago, RM (Metropolitana);Oriente;0;42;42;0;0;3;2;1;1;1;12;14;8;0;400000;9523,809524;-33,45163;-70,66318;https://www.portalinmobiliario.com/MLC-1424661144-edificio-jose-miguel-carrera-vista-oriente-piso-12-_JM#position=2&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
2;Edificio Carmen- Vista Sur Piso 4;santiago-metropolitana;departamento;arriendo;Carmen 121, Santa Isabel, Santiago, RM (Metropolitana);Sur;0;34;32;Si;2;2;1;1;0;1;4;9;22;0;360000;10588,23529;-33,44493;-70,64289;https://www.portalinmobiliario.com/MLC-1372473005-edificio-carmen-vista-sur-piso-4-_JM#position=3&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
3;Edificio Matucana- Vista Poniente Piso 7;santiago-metropolitana;departamento;arriendo;Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana);Poniente;0;39,42;36,25;Si;3,17;2;1;1;0;0;7;10;15;0;325000;8244,545916;-33,44905;-70,67915;https://www.portalinmobiliario.com/MLC-1355105442-edificio-matucana-vista-poniente-piso-7-_JM#position=4&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
4;Edificio Matucana- Vista Oriente Piso 8;santiago-metropolitana;departamento;arriendo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;426000;0;28,61141;77,2183;https://www.portalinmobiliario.com/MLC-1443304248-edificio-matucana-vista-oriente-piso-8-_JM#position=5&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
5;Edificio San Francisco- Vista Oriente Piso 25;santiago-metropolitana;departamento;arriendo;San Francisco 294, Bulnes, Santiago, RM (Metropolitana);Oriente;0;26;26;0;0;2;1;1;0;0;25;25;23;0;268000;10307,69231;-33,44921;-70,69368;https://www.portalinmobiliario.com/MLC-1527734496-edificio-san-francisco-vista-oriente-piso-25-_JM#position=6&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
6;Edificio Edificio Cima- Vista Sur Piso 5;santiago-metropolitana;departamento;arriendo;Vicuña Mackenna 327, Santa Isabel, Santiago, RM (Metropolitana);Sur;0;32,67;28,19;Si;4,48;2;1;1;0;0;5;18;26;0;355000;10866,23814;-33,44582;-70,63281;https://www.portalinmobiliario.com/MLC-1369686247-edificio-edificio-cima-vista-sur-piso-5-_JM#position=7&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
7;Edificio Carmen- Vista Norte Piso 24;santiago-metropolitana;departamento;arriendo;Carmen 110, Santa Isabel, Santiago, RM (Metropolitana);Norte;0;27;27;0;0;2;1;1;0;1;24;25;22;0;349000;12925,92593;-33,44458;-70,64297;https://www.portalinmobiliario.com/MLC-1527812436-edificio-carmen-vista-norte-piso-24-_JM#position=8&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
8;Edificio Santiago Concha- Vista Poniente Piso 8;santiago-metropolitana;departamento;arriendo;Santiago Concha 1148, Bogotá - Sierra Bella, Santiago, RM (Metropolitana);Poniente;0;27;27;0;0;2;1;1;0;0;8;25;14;0;332000;12296,2963;-33,45759;-70,63679;https://www.portalinmobiliario.com/MLC-1527721522-edificio-santiago-concha-vista-poniente-piso-8-_JM#position=9&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
9;Edificio Nataniel Cox- Vista Norte Piso 3;santiago-metropolitana;departamento;arriendo;Nataniel Cox 683, Parque Almagro, Santiago, RM (Metropolitana);Norte;0;38,16;35,17;Si;2,99;2;1;1;0;0;3;17;12;0;345000;9040,880503;-33,45395;-70,6526;https://www.portalinmobiliario.com/MLC-1527773604-edificio-nataniel-cox-vista-norte-piso-3-_JM#position=10&search_layout=stack&type=item&tracking_id=6248c444-690e-4b8b-b576-5955d6377e1f
